zone_id,Zone,Borough_original,avg_actual,avg_pred,MAE,MAPE,num_hours
41,Central Harlem,Manhattan,10.36,10.3,3.17,45.38,2039
18,Bedford Park,Bronx,1.67,1.64,0.69,45.44,884
248,West Farms/Bronx River,Bronx,1.39,1.48,0.61,45.84,643
29,Brighton Beach,Brooklyn,1.56,1.61,0.66,45.97,776
78,East Tremont,Bronx,1.78,1.71,0.74,46.01,966
24,Bloomingdale,Manhattan,10.33,10.24,3.08,46.45,1968
22,Bensonhurst West,Brooklyn,1.62,1.66,0.69,46.83,750
179,Old Astoria,Queens,1.63,1.59,0.71,47.11,1117
202,Roosevelt Island,Manhattan,1.38,1.48,0.61,47.17,694
92,Flushing,Queens,1.55,1.59,0.68,47.92,864
108,Gravesend,Brooklyn,1.54,1.6,0.68,47.96,727
47,Claremont/Bathgate,Bronx,1.62,1.66,0.71,48.13,889
155,Marine Park/Mill Basin,Brooklyn,1.82,1.77,0.79,48.56,900
219,Springfield Gardens South,Queens,1.68,1.63,0.75,48.61,1238
56,Corona,Queens,1.6,1.62,0.77,48.77,906
82,Elmhurst,Queens,1.57,1.61,0.71,49.31,1116
242,Van Nest/Morris Park,Bronx,1.53,1.62,0.68,49.32,788
134,Kew Gardens,Queens,1.66,1.71,0.73,49.61,925
260,Woodside,Queens,1.76,1.7,0.79,50.0,1338
74,East Harlem North,Manhattan,9.98,9.95,3.38,50.09,2032
13,Battery Park City,Manhattan,27.49,27.33,5.89,50.23,1950
246,West Chelsea/Hudson Yards,Manhattan,79.16,77.66,12.36,50.38,2134
43,Central Park,Manhattan,72.43,71.84,12.83,50.4,2028
211,SoHo,Manhattan,35.74,35.32,6.85,50.52,2082
241,Van Cortlandt Village,Bronx,1.58,1.72,0.7,50.73,769
123,Homecrest,Brooklyn,1.74,1.78,0.79,51.18,796
77,East New York/Pennsylvania Avenue,Brooklyn,2.0,1.96,0.89,51.23,1027
167,Morrisania/Melrose,Bronx,1.84,1.8,0.84,51.33,937
223,Steinway,Queens,1.96,1.89,0.86,51.8,1357
139,Laurelton,Queens,1.5,1.57,0.7,52.01,661
119,Highbridge,Bronx,1.73,1.75,0.79,52.21,925
210,Sheepshead Bay,Brooklyn,1.99,1.96,0.89,52.48,967
168,Mott Haven/Port Morris,Bronx,2.03,1.95,0.94,52.78,1189
250,Westchester Village/Unionport,Bronx,1.46,1.59,0.71,53.0,688
17,Bedford,Brooklyn,2.29,2.18,0.99,53.14,1371
85,Erasmus,Brooklyn,1.81,1.8,0.84,53.43,926
37,Bushwick South,Brooklyn,2.11,2.03,0.95,53.68,1353
14,Bay Ridge,Brooklyn,2.09,2.06,0.96,53.73,1142
26,Borough Park,Brooklyn,1.86,1.9,0.84,53.76,809
88,Financial District South,Manhattan,14.75,14.73,4.09,53.79,1960
218,Springfield Gardens North,Queens,1.8,1.8,0.86,53.85,973
228,Sunset Park West,Brooklyn,1.85,1.85,0.89,53.94,936
7,Astoria,Queens,2.56,2.38,1.13,54.02,1714
127,Inwood,Manhattan,1.55,1.75,0.72,54.15,884
215,South Jamaica,Queens,1.88,1.85,0.89,54.43,1227
144,Little Italy/NoLiTa,Manhattan,44.29,43.54,7.95,54.7,2107
112,Greenpoint,Brooklyn,1.79,1.91,0.84,55.07,1155
256,Williamsburg (South Side),Brooklyn,2.12,1.98,1.03,55.65,1338
62,Crown Heights South,Brooklyn,2.12,2.12,0.98,56.48,1086
80,East Williamsburg,Brooklyn,2.02,2.0,0.96,56.49,1314
182,Parkchester,Bronx,2.02,1.95,0.98,57.13,991
159,Melrose South,Bronx,1.92,1.91,0.92,57.21,1034
86,Far Rockaway,Queens,1.97,1.97,0.95,57.84,1069
49,Clinton Hill,Brooklyn,2.26,2.24,1.05,58.19,1268
10,Baisley Park,Queens,2.46,2.3,1.14,58.24,1564
165,Midwood,Brooklyn,2.18,2.2,1.03,58.77,876
205,Saint Albans,Queens,2.0,2.01,0.98,58.88,1106
232,Two Bridges/Seward Park,Manhattan,5.44,5.1,2.25,59.11,1961
25,Boerum Hill,Brooklyn,2.79,2.58,1.29,59.51,1612
33,Brooklyn Heights,Brooklyn,3.11,2.87,1.39,60.08,1551
42,Central Harlem North,Manhattan,6.37,6.56,2.4,60.42,1916
65,Downtown Brooklyn/MetroTech,Brooklyn,3.45,3.24,1.53,60.46,1688
146,Long Island City/Queens Plaza,Queens,2.47,2.38,1.19,60.51,1706
181,Park Slope,Brooklyn,2.73,2.6,1.28,60.61,1553
224,Stuy Town/Peter Cooper Village,Manhattan,4.6,4.43,1.96,61.22,1890
117,Hammels/Arverne,Queens,1.94,2.0,0.98,61.4,1050
69,East Concourse/Concourse Village,Bronx,2.39,2.34,1.15,61.47,1108
254,Williamsbridge/Olinville,Bronx,2.05,2.1,1.05,61.59,1063
209,Seaport,Manhattan,9.04,8.76,3.16,61.67,1886
130,Jamaica,Queens,2.16,2.19,1.06,62.0,1455
72,East Flatbush/Remsen Village,Brooklyn,2.72,2.63,1.28,62.0,1259
226,Sunnyside,Queens,4.2,4.03,1.8,62.04,1927
55,Coney Island,Brooklyn,2.55,2.51,1.21,62.14,1244
157,Maspeth,Queens,1.91,1.94,1.09,62.15,869
213,Soundview/Castle Hill,Bronx,2.37,2.38,1.15,62.3,1031
145,Long Island City/Hunters Point,Queens,3.12,2.99,1.44,62.36,1913
177,Ocean Hill,Brooklyn,2.53,2.46,1.21,62.47,1202
129,Jackson Heights,Queens,2.51,2.46,1.18,62.54,1613
71,East Flatbush/Farragut,Brooklyn,2.66,2.58,1.26,62.69,1199
45,Chinatown,Manhattan,7.75,7.69,2.75,63.05,1833
225,Stuyvesant Heights,Brooklyn,2.84,2.79,1.38,63.69,1399
243,Washington Heights North,Manhattan,2.1,2.29,1.01,64.15,1217
247,West Concourse,Bronx,1.93,2.1,1.0,64.23,997
97,Fort Greene,Brooklyn,3.32,3.19,1.54,64.32,1723
